"paper","da_label","descriptive","inferential","machine_learning","method"
"http://orkg.org/orkg/resource/R256580","analysis","descriptive",,,"content analysis"
"http://orkg.org/orkg/resource/R279141","analysis","descriptive",,,"content analysis"
"http://orkg.org/orkg/resource/R194114","analysis","descriptive",,,"content analysis"
"http://orkg.org/orkg/resource/R194237","analysis","descriptive",,,"content analysis"
"http://orkg.org/orkg/resource/R194114","analysis","descriptive",,,"deductive coding"
"http://orkg.org/orkg/resource/R193336","analysis","descriptive",,,"peer-coding"
"http://orkg.org/orkg/resource/R193357","analysis","descriptive",,,"top-down coding"
"http://orkg.org/orkg/resource/R193866","analysis","descriptive",,,"sentiment analysis"
"http://orkg.org/orkg/resource/R193866","analysis","descriptive",,,"closed coding"
"http://orkg.org/orkg/resource/R193866","analysis","descriptive",,,"topic analysis"
"http://orkg.org/orkg/resource/R194698","analysis","descriptive",,,"topic analysis"
"http://orkg.org/orkg/resource/R193406","analysis","descriptive",,,"focused coding"
"http://orkg.org/orkg/resource/R193406","analysis","descriptive",,,"theoretical coding"
"http://orkg.org/orkg/resource/R211096","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R211494","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R220858","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R225580","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R254495","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R280335","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R283069","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R193467","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R194474","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R194641","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R195578","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R195728","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R195866","analysis","descriptive",,,"coding"
